sample_id,cohort,source_stem,parent_group_id,tile_index_zyx,split,image_path,mask_path,swc_path,image_size_bytes,mask_size_bytes,swc_size_bytes,eligible,skip_reason,optional_auxiliary_notes
raw-analysis__fMOST_0_5_6_0_0_6_0001_00_01,raw-analysis,fMOST_0_5_6_0_0_6_0001_00_01,fMOST_0_5_6_0_0_6,"(1, 0, 1)",,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\images\fMOST_0_5_6_0_0_6_0001_00_01.tif,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\mask\fMOST_0_5_6_0_0_6_0001_00_01.tif,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\swc\fMOST_0_5_6_0_0_6_0001_00_01.swc,1589599,1555252,486588,True,,[]
raw-analysis__fMOST_0_5_6_0_0_6_0001_00_02,raw-analysis,fMOST_0_5_6_0_0_6_0001_00_02,fMOST_0_5_6_0_0_6,"(1, 0, 2)",,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\images\fMOST_0_5_6_0_0_6_0001_00_02.tif,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\mask\fMOST_0_5_6_0_0_6_0001_00_02.tif,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\swc\fMOST_0_5_6_0_0_6_0001_00_02.swc,1559894,1496079,492635,True,,[]
raw-analysis__fMOST_0_5_6_0_0_6_0001_01_00,raw-analysis,fMOST_0_5_6_0_0_6_0001_01_00,fMOST_0_5_6_0_0_6,"(1, 1, 0)",,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\images\fMOST_0_5_6_0_0_6_0001_01_00.tif,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\mask\fMOST_0_5_6_0_0_6_0001_01_00.tif,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\swc\fMOST_0_5_6_0_0_6_0001_01_00.swc,1489177,1218096,277962,True,,[]
raw-analysis__fMOST_0_5_6_0_0_6_0001_01_01,raw-analysis,fMOST_0_5_6_0_0_6_0001_01_01,fMOST_0_5_6_0_0_6,"(1, 1, 1)",,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\images\fMOST_0_5_6_0_0_6_0001_01_01.tif,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\mask\fMOST_0_5_6_0_0_6_0001_01_01.tif,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\swc\fMOST_0_5_6_0_0_6_0001_01_01.swc,1591759,1498424,414448,True,,[]
raw-analysis__fMOST_0_5_6_0_0_6_0001_01_02,raw-analysis,fMOST_0_5_6_0_0_6_0001_01_02,fMOST_0_5_6_0_0_6,"(1, 1, 2)",,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\images\fMOST_0_5_6_0_0_6_0001_01_02.tif,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\mask\fMOST_0_5_6_0_0_6_0001_01_02.tif,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\swc\fMOST_0_5_6_0_0_6_0001_01_02.swc,1416734,1508483,477662,True,,[]
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_00,raw-analysis,fMOST_0_5_6_0_0_6_0001_02_00,fMOST_0_5_6_0_0_6,"(1, 2, 0)",,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\images\fMOST_0_5_6_0_0_6_0001_02_00.tif,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\mask\fMOST_0_5_6_0_0_6_0001_02_00.tif,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\swc\fMOST_0_5_6_0_0_6_0001_02_00.swc,1488665,1192058,379200,True,,[]
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01,raw-analysis,fMOST_0_5_6_0_0_6_0001_02_01,fMOST_0_5_6_0_0_6,"(1, 2, 1)",,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\images\fMOST_0_5_6_0_0_6_0001_02_01.tif,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\mask\fMOST_0_5_6_0_0_6_0001_02_01.tif,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\swc\fMOST_0_5_6_0_0_6_0001_02_01.swc,1493242,1479913,384541,True,,[]
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_02,raw-analysis,fMOST_0_5_6_0_0_6_0001_02_02,fMOST_0_5_6_0_0_6,"(1, 2, 2)",,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\images\fMOST_0_5_6_0_0_6_0001_02_02.tif,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\mask\fMOST_0_5_6_0_0_6_0001_02_02.tif,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\swc\fMOST_0_5_6_0_0_6_0001_02_02.swc,1294736,1283019,431716,True,,[]
raw-analysis__fMOST_0_5_6_0_0_6_0002_00_00,raw-analysis,fMOST_0_5_6_0_0_6_0002_00_00,fMOST_0_5_6_0_0_6,"(2, 0, 0)",,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\images\fMOST_0_5_6_0_0_6_0002_00_00.tif,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\mask\fMOST_0_5_6_0_0_6_0002_00_00.tif,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\swc\fMOST_0_5_6_0_0_6_0002_00_00.swc,1311031,897326,307705,True,,[]
raw-analysis__fMOST_0_5_6_0_0_6_0002_00_01,raw-analysis,fMOST_0_5_6_0_0_6_0002_00_01,fMOST_0_5_6_0_0_6,"(2, 0, 1)",,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\images\fMOST_0_5_6_0_0_6_0002_00_01.tif,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\mask\fMOST_0_5_6_0_0_6_0002_00_01.tif,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\swc\fMOST_0_5_6_0_0_6_0002_00_01.swc,1548146,1425128,450343,True,,[]
raw-analysis__fMOST_0_5_6_0_0_6_0002_00_02,raw-analysis,fMOST_0_5_6_0_0_6_0002_00_02,fMOST_0_5_6_0_0_6,"(2, 0, 2)",,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\images\fMOST_0_5_6_0_0_6_0002_00_02.tif,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\mask\fMOST_0_5_6_0_0_6_0002_00_02.tif,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\swc\fMOST_0_5_6_0_0_6_0002_00_02.swc,1626046,1319142,500837,True,,[]
raw-analysis__fMOST_0_5_6_0_0_6_0002_01_00,raw-analysis,fMOST_0_5_6_0_0_6_0002_01_00,fMOST_0_5_6_0_0_6,"(2, 1, 0)",,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\images\fMOST_0_5_6_0_0_6_0002_01_00.tif,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\mask\fMOST_0_5_6_0_0_6_0002_01_00.tif,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\swc\fMOST_0_5_6_0_0_6_0002_01_00.swc,1576496,1176036,371485,True,,[]
raw-analysis__fMOST_0_5_6_0_0_6_0002_01_01,raw-analysis,fMOST_0_5_6_0_0_6_0002_01_01,fMOST_0_5_6_0_0_6,"(2, 1, 1)",,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\images\fMOST_0_5_6_0_0_6_0002_01_01.tif,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\mask\fMOST_0_5_6_0_0_6_0002_01_01.tif,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\swc\fMOST_0_5_6_0_0_6_0002_01_01.swc,1649019,1325376,451208,True,,[]
raw-analysis__fMOST_0_5_6_0_0_6_0002_01_02,raw-analysis,fMOST_0_5_6_0_0_6_0002_01_02,fMOST_0_5_6_0_0_6,"(2, 1, 2)",,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\images\fMOST_0_5_6_0_0_6_0002_01_02.tif,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\mask\fMOST_0_5_6_0_0_6_0002_01_02.tif,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\swc\fMOST_0_5_6_0_0_6_0002_01_02.swc,1513158,1240742,439613,True,,[]
raw-analysis__fMOST_0_5_6_0_0_6_0002_02_00,raw-analysis,fMOST_0_5_6_0_0_6_0002_02_00,fMOST_0_5_6_0_0_6,"(2, 2, 0)",,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\images\fMOST_0_5_6_0_0_6_0002_02_00.tif,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\mask\fMOST_0_5_6_0_0_6_0002_02_00.tif,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\swc\fMOST_0_5_6_0_0_6_0002_02_00.swc,1661423,1339756,451333,True,,[]
raw-analysis__fMOST_0_5_6_0_0_6_0002_02_01,raw-analysis,fMOST_0_5_6_0_0_6_0002_02_01,fMOST_0_5_6_0_0_6,"(2, 2, 1)",,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\images\fMOST_0_5_6_0_0_6_0002_02_01.tif,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\mask\fMOST_0_5_6_0_0_6_0002_02_01.tif,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\swc\fMOST_0_5_6_0_0_6_0002_02_01.swc,1749991,1562902,447649,True,,[]
raw-analysis__fMOST_0_5_6_0_0_6_0002_02_02,raw-analysis,fMOST_0_5_6_0_0_6_0002_02_02,fMOST_0_5_6_0_0_6,"(2, 2, 2)",,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\images\fMOST_0_5_6_0_0_6_0002_02_02.tif,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\mask\fMOST_0_5_6_0_0_6_0002_02_02.tif,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\swc\fMOST_0_5_6_0_0_6_0002_02_02.swc,1521891,1320334,428852,True,,[]
raw-analysis__fMOST_0_5_7_0_0_10_0000_00_00,raw-analysis,fMOST_0_5_7_0_0_10_0000_00_00,fMOST_0_5_7_0_0_10,"(0, 0, 0)",,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\images\fMOST_0_5_7_0_0_10_0000_00_00.tif,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\mask\fMOST_0_5_7_0_0_10_0000_00_00.tif,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\swc\fMOST_0_5_7_0_0_10_0000_00_00.swc,1759752,1717619,378589,True,,[]
raw-analysis__fMOST_0_5_7_0_0_10_0000_00_01,raw-analysis,fMOST_0_5_7_0_0_10_0000_00_01,fMOST_0_5_7_0_0_10,"(0, 0, 1)",,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\images\fMOST_0_5_7_0_0_10_0000_00_01.tif,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\mask\fMOST_0_5_7_0_0_10_0000_00_01.tif,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\swc\fMOST_0_5_7_0_0_10_0000_00_01.swc,1675436,1628299,345041,True,,[]
raw-analysis__fMOST_0_5_7_0_0_10_0000_00_02,raw-analysis,fMOST_0_5_7_0_0_10_0000_00_02,fMOST_0_5_7_0_0_10,"(0, 0, 2)",,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\images\fMOST_0_5_7_0_0_10_0000_00_02.tif,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\mask\fMOST_0_5_7_0_0_10_0000_00_02.tif,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\swc\fMOST_0_5_7_0_0_10_0000_00_02.swc,1437620,1255008,318040,True,,[]
raw-analysis__fMOST_0_5_7_0_0_10_0000_01_00,raw-analysis,fMOST_0_5_7_0_0_10_0000_01_00,fMOST_0_5_7_0_0_10,"(0, 1, 0)",,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\images\fMOST_0_5_7_0_0_10_0000_01_00.tif,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\mask\fMOST_0_5_7_0_0_10_0000_01_00.tif,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\swc\fMOST_0_5_7_0_0_10_0000_01_00.swc,1912930,1713056,462991,True,,[]
raw-analysis__fMOST_0_5_7_0_0_10_0000_01_01,raw-analysis,fMOST_0_5_7_0_0_10_0000_01_01,fMOST_0_5_7_0_0_10,"(0, 1, 1)",,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\images\fMOST_0_5_7_0_0_10_0000_01_01.tif,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\mask\fMOST_0_5_7_0_0_10_0000_01_01.tif,E:\ULM\hatimb-particle_flow_simulator\ulm_3D_vascular\vessel_model\T - A high-resolution dataset of mouse brain vasculature\raw_data\analysis_data\analysis_data\swc\fMOST_0_5_7_0_0_10_0000_01_01.swc,1756831,1658532,363776,True,,[]
